brand,model,year,mileage_km,city,price,price_type,transmission,body_color,inside_color,body_status,engine_liter,link
پژو,پژو، 2008,2018,89000,تهران / سهروردی,3200000000.0,lumpsum,اتوماتیک,سفید,مشکی,یک لکه رنگ,1.6,https://bama.ir/car/detail-duxhngsg-peugeot-2008-1397
نیسان,نیسان، ترا,2025,0,تهران / اقدسیه,9800000000.0,lumpsum,اتوماتیک,سفید,-,بدون رنگ,2.0,https://bama.ir/car/detail-qekwouyx-nissan-terra-exclusive-1404
میتسوبیشی,میتسوبیشی، اوتلندر,2018,61000,پیرانشهر,8500000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,2.4,https://bama.ir/car/detail-fhu4wa57-mitsubishi-outlander-type5-2018
تویوتا,تویوتا، راوفور,2025,0,تهران / عباس‌آباد,20000000000.0,lumpsum,اتوماتیک,سرمه ای,مشکی,بدون رنگ,2.5,https://bama.ir/car/detail-d6vgnl4o-toyota-rav4-4wd-2025
لوکانو,لوکانو، L7,2026,0,تهران / جنت آباد,8300000000.0,installment,اتوماتیک,مشکی,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-dahj2yzu-lucano-l7-1.6literturbo-1405
تویوتا,تویوتا، لندکروز چهار در,2011,103000,تهران / الهیه,26900000000.0,lumpsum,اتوماتیک,سفید,کرم,بدون رنگ,4.0,https://bama.ir/car/detail-g5rf41v9-toyota-landcruiser4door-v64000cc-2011
پژو,پژو، 2008,2018,66000,تهران / سعادت‌آباد,3600000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-fr3h85vm-peugeot-2008-1397
هیوندای,هیوندای، سانتافه,2015,78000,تهران / دروس,6100000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,2.4,https://bama.ir/car/detail-u3abwxcj-hyundai-santafeix45-2400cc-2015
تویوتا,تویوتا، ونزا,2025,0,تهران / ولنجک,12200000000.0,lumpsum,اتوماتیک,مشکی,نارنجی,بدون رنگ,2.0,https://bama.ir/car/detail-8hs0k4zy-toyota-venza-2.0literpremium-2025
تویوتا,تویوتا، پرادو دو در,2013,159000,تهران / پاسداران,14100000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,2.7,https://bama.ir/car/detail-oz4jrabh-toyota-prado2doors-4cylinder-2013
جک,جک، جی 4,2025,29000,تهران / تهرانپارس شرقی,1950000000.0,lumpsum,اتوماتیک,نوک مدادی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-vgrgc2me-jac-j4-1404
بی ای دبلیو (BAW),بی ای دبلیو (BAW)، 212,2026,0,تهران / نیاوران,7800000000.0,lumpsum,اتوماتیک,یشمی,مارون,بدون رنگ,2.0,https://bama.ir/car/detail-cjqnzhly-baw-212t01-2.0literturbo-1405
لوکانو,لوکانو، L7,2026,0,تهران / نیاوران,2113000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-rj6wgkmq-lucano-l7-1.6literturbo-1405
اونترا,حواله اونترا، U75 Plus,2026,0,تهران / نیاوران,2750000000.0,lumpsum,اتوماتیک,نوک مدادی,قرمز,بدون رنگ,2.0,https://bama.ir/car/detail-nxeujmbk-aventra-u75plus-2.0literturbo-1405
